attendance_id,staff_id,date,status,hours_worked
A000001,S00001,2026-08-01,Present,7.4
A000002,S00001,2026-08-02,Present,8.8
A000003,S00001,2026-08-03,Present,9.7
A000004,S00001,2026-08-04,Present,7.5
A000005,S00001,2026-08-05,Present,8.2
A000006,S00001,2026-08-06,Half Day,4.1
A000007,S00001,2026-08-07,Present,8.4
A000008,S00001,2026-08-08,Present,8.4
A000009,S00001,2026-08-09,Half Day,3.6
A000010,S00001,2026-08-10,Present,9.1
A000011,S00002,2026-08-01,Present,7.4
A000012,S00002,2026-08-02,Present,9.6
A000013,S00002,2026-08-03,Absent,0.0
A000014,S00002,2026-08-04,Present,9.3
A000015,S00002,2026-08-05,Present,9.8
A000016,S00002,2026-08-06,Present,9.8
A000017,S00002,2026-08-07,Present,8.2
A000018,S00002,2026-08-08,Present,8.3
A000019,S00002,2026-08-09,Present,8.5
A000020,S00002,2026-08-10,Present,8.9
A000021,S00003,2026-08-01,Absent,0.0
A000022,S00003,2026-08-02,Present,9.4
A000023,S00003,2026-08-03,Present,7.9
A000024,S00003,2026-08-04,Present,8.0
A000025,S00003,2026-08-05,Present,7.3
A000026,S00003,2026-08-06,Present,7.4
A000027,S00003,2026-08-07,Absent,0.0
A000028,S00003,2026-08-08,Present,7.3
A000029,S00003,2026-08-09,Half Day,4.7
A000030,S00003,2026-08-10,Present,7.7
A000031,S00004,2026-08-01,Present,10.0
A000032,S00004,2026-08-02,Present,9.8
A000033,S00004,2026-08-03,Present,10.0
A000034,S00004,2026-08-04,Present,8.6
A000035,S00004,2026-08-05,Present,8.3
A000036,S00004,2026-08-06,Present,7.6
A000037,S00004,2026-08-07,Present,7.6
A000038,S00004,2026-08-08,Present,9.2
A000039,S00004,2026-08-09,Present,9.1
A000040,S00004,2026-08-10,Present,9.3
A000041,S00005,2026-08-01,Absent,0.0
A000042,S00005,2026-08-02,Half Day,4.8
A000043,S00005,2026-08-03,Present,9.8
A000044,S00005,2026-08-04,Present,8.9
A000045,S00005,2026-08-05,Half Day,3.5
A000046,S00005,2026-08-06,Present,8.2
A000047,S00005,2026-08-07,Present,8.2
A000048,S00005,2026-08-08,Present,10.0
A000049,S00005,2026-08-09,Absent,0.0
A000050,S00005,2026-08-10,Present,9.4
A000051,S00006,2026-08-01,Present,8.6
A000052,S00006,2026-08-02,Present,9.3
A000053,S00006,2026-08-03,Present,9.2
A000054,S00006,2026-08-04,Present,8.4
A000055,S00006,2026-08-05,Absent,0.0
A000056,S00006,2026-08-06,Present,7.6
A000057,S00006,2026-08-07,Present,7.6
A000058,S00006,2026-08-08,Present,7.2
A000059,S00006,2026-08-09,Present,7.4
A000060,S00006,2026-08-10,Present,8.0
A000061,S00007,2026-08-01,Half Day,3.2
A000062,S00007,2026-08-02,Present,8.3
A000063,S00007,2026-08-03,Present,7.5
A000064,S00007,2026-08-04,Present,7.8
A000065,S00007,2026-08-05,Present,9.9
A000066,S00007,2026-08-06,Present,9.0
A000067,S00007,2026-08-07,Half Day,4.7
A000068,S00007,2026-08-08,Present,8.9
A000069,S00007,2026-08-09,Present,7.9
A000070,S00007,2026-08-10,Present,7.1
A000071,S00008,2026-08-01,Present,8.8
A000072,S00008,2026-08-02,Half Day,3.0
A000073,S00008,2026-08-03,Present,7.8
A000074,S00008,2026-08-04,Present,7.6
A000075,S00008,2026-08-05,Present,8.5
A000076,S00008,2026-08-06,Present,9.0
A000077,S00008,2026-08-07,Present,9.5
A000078,S00008,2026-08-08,Present,7.2
A000079,S00008,2026-08-09,Present,8.4
A000080,S00008,2026-08-10,Present,9.3
A000081,S00009,2026-08-01,Present,8.2
A000082,S00009,2026-08-02,Present,8.4
A000083,S00009,2026-08-03,Present,9.5
A000084,S00009,2026-08-04,Present,9.1
A000085,S00009,2026-08-05,Half Day,4.0
A000086,S00009,2026-08-06,Present,7.3
A000087,S00009,2026-08-07,Present,8.4
A000088,S00009,2026-08-08,Present,7.6
A000089,S00009,2026-08-09,Present,9.2
A000090,S00009,2026-08-10,Present,7.1
A000091,S00010,2026-08-01,Present,8.1
A000092,S00010,2026-08-02,Present,8.1
A000093,S00010,2026-08-03,Present,7.9
A000094,S00010,2026-08-04,Absent,0.0
A000095,S00010,2026-08-05,Absent,0.0
A000096,S00010,2026-08-06,Present,7.5
A000097,S00010,2026-08-07,Present,10.0
A000098,S00010,2026-08-08,Present,9.4
A000099,S00010,2026-08-09,Present,7.7
A000100,S00010,2026-08-10,Present,8.5
A000101,S00011,2026-08-01,Present,7.0
A000102,S00011,2026-08-02,Present,7.9
A000103,S00011,2026-08-03,Absent,0.0
A000104,S00011,2026-08-04,Present,9.1
A000105,S00011,2026-08-05,Present,8.2
A000106,S00011,2026-08-06,Present,10.0
A000107,S00011,2026-08-07,Present,8.4
A000108,S00011,2026-08-08,Present,8.6
A000109,S00011,2026-08-09,Present,8.1
