campaign_id,franchise_id,campaign_name,campaign_type,start_date,end_date,budget,impressions,clicks,conversions,revenue_generated,roi_pct
CMP00001,F019,Family Meal Combo,Loyalty,2025-10-26,2025-11-05,46747,82724,873,652,152645.02,226.53
CMP00002,F032,Family Feast Weekend,Search,2026-04-17,2026-04-30,24898,13758,1620,1551,69805.44,180.37
CMP00003,F025,Loyalty Customer Offer,Social Media,2026-02-23,2026-03-09,41615,115114,2310,1720,148192.3,256.1
CMP00004,F044,New Menu Launch,Festival,2026-01-25,2026-01-31,56565,108533,19159,1221,265346.38,369.1
CMP00005,F004,Family Meal Combo,Festival,2026-07-09,2026-07-12,73610,34130,6251,1993,270105.06,266.94
CMP00006,F038,Family Feast Weekend,Festival,2026-05-21,2026-06-06,42278,11114,1084,392,38604.51,-8.69
CMP00007,F036,Festive Dinner Promotion,Local Promotion,2026-07-28,2026-08-11,31194,42207,5306,1915,59847.11,91.85
CMP00008,F041,Delivery Special,Festival,2026-04-22,2026-04-28,53756,30279,1901,1086,153527.97,185.6
CMP00009,F007,Student Meal Offer,Festival,2025-12-25,2026-01-05,40337,56916,338,268,34131.59,-15.38
CMP00010,F043,Student Meal Offer,Loyalty,2026-04-21,2026-05-02,47615,110377,9007,800,34875.19,-26.76
CMP00011,F027,Loyalty Customer Offer,Search,2026-06-30,2026-07-09,48650,44037,6800,356,69114.04,42.06
CMP00012,F049,Weekend Biryani Offer,Loyalty,2025-12-20,2025-12-27,19058,37755,1462,662,76270.83,300.2
CMP00013,F045,Festive Dinner Promotion,Social Media,2026-07-10,2026-07-27,37809,75258,9315,1145,180596.71,377.66
CMP00014,F024,Family Feast Weekend,Local Promotion,2026-01-10,2026-01-27,24927,67603,8603,856,32304.46,29.6
CMP00015,F030,Delivery Special,Loyalty,2026-04-22,2026-04-26,37771,58345,398,207,67352.03,78.32
CMP00016,F041,Weekend Biryani Offer,Search,2025-09-22,2025-09-25,31131,93893,12690,375,125884.44,304.37
CMP00017,F005,Lunch Combo Campaign,Local Promotion,2025-12-21,2026-01-06,22966,131283,13148,299,95303.71,314.98
CMP00018,F040,Delivery Special,Search,2026-04-30,2026-05-08,42387,5629,806,490,137526.54,224.45
CMP00019,F025,Lunch Combo Campaign,Search,2026-02-26,2026-03-15,58852,106319,9828,1879,62411.5,6.05
CMP00020,F006,New Menu Launch,Loyalty,2025-11-06,2025-11-24,71706,79634,2387,1001,332538.43,363.75
CMP00021,F010,Festive Dinner Promotion,Festival,2026-07-22,2026-07-30,71847,17614,2619,1187,272532.8,279.32
CMP00022,F022,Lunch Combo Campaign,Local Promotion,2026-04-28,2026-05-11,21290,145999,10833,756,93989.34,341.47
CMP00023,F009,Lunch Combo Campaign,Social Media,2025-10-04,2025-10-20,19018,40673,5480,332,52967.73,178.51
CMP00024,F030,New Menu Launch,Festival,2025-09-28,2025-10-16,67589,26225,733,486,317908.35,370.36
CMP00025,F020,Family Meal Combo,Search,2026-07-26,2026-08-15,73837,108042,15902,1430,278050.34,276.57
CMP00026,F035,Student Meal Offer,Social Media,2026-07-06,2026-07-14,69123,120274,5094,1302,77453.11,12.05
CMP00027,F020,Chef Special Promotion,Local Promotion,2025-10-06,2025-10-15,30407,130212,7659,894,77201.2,153.89
CMP00028,F013,New Menu Launch,Search,2026-06-17,2026-06-20,50703,148065,16521,638,134848.95,165.96
CMP00029,F008,Weekend Pizza Deal,Search,2026-03-15,2026-03-21,10419,72275,2282,483,14706.62,41.15
CMP00030,F047,Family Feast Weekend,Loyalty,2025-11-22,2025-12-07,41049,14427,2595,1910,100276.23,144.28
CMP00031,F023,Festive Dinner Promotion,Festival,2026-02-14,2026-03-02,73692,116897,15061,1583,115579.38,56.84
CMP00032,F036,Loyalty Customer Offer,Loyalty,2025-10-26,2025-11-02,34903,53504,9321,570,28831.51,-17.4
CMP00033,F038,Loyalty Customer Offer,Festival,2026-05-18,2026-05-22,33163,73742,12126,201,25652.76,-22.65
CMP00034,F013,Weekend Biryani Offer,Search,2026-06-08,2026-06-18,49021,38557,6461,869,124470.7,153.91
CMP00035,F050,Delivery Special,Search,2025-12-03,2025-12-20,59311,126292,23319,434,92075.84,55.24
CMP00036,F044,Weekend Biryani Offer,Festival,2026-03-16,2026-04-05,15366,122049,8438,1150,22007.72,43.22
CMP00037,F035,Lunch Combo Campaign,Festival,2025-11-14,2025-11-17,31862,14851,2412,1376,52332.62,64.25
CMP00038,F027,Family Feast Weekend,Social Media,2025-12-21,2026-01-04,24861,50266,1366,287,96462.13,288.01
CMP00039,F050,Lunch Combo Campaign,Festival,2025-12-01,2025-12-13,15590,102261,8587,1988,53409.19,242.59
CMP00040,F045,Monsoon Food Festival,Loyalty,2025-09-18,2025-09-29,62854,16217,548,111,80339.73,27.82
CMP00041,F039,Loyalty Customer Offer,Local Promotion,2025-12-09,2025-12-14,28757,102831,17275,1302,53066.53,84.53
CMP00042,F001,Weekend Biryani Offer,Local Promotion,2026-03-07,2026-03-23,41067,48315,8390,1038,186261.64,353.56
CMP00043,F023,Festive Dinner Promotion,Loyalty,2025-11-10,2025-11-27,36510,76265,6968,1359,27683.96,-24.17
CMP00044,F045,Festive Dinner Promotion,Social Media,2026-03-06,2026-03-20,22212,54613,8743,1322,66222.86,198.14
CMP00045,F042,Lunch Combo Campaign,Local Promotion,2026-08-11,2026-08-27,40330,120870,13973,1654,102028.34,152.98
CMP00046,F018,Delivery Special,Local Promotion,2026-06-18,2026-07-03,16310,106711,9300,1160,28894.05,77.16
CMP00047,F016,Delivery Special,Social Media,2026-07-30,2026-08-06,46171,39217,5869,968,129965.49,181.49
CMP00048,F027,Weekend Pizza Deal,Local Promotion,2025-09-20,2025-10-11,72229,143975,2557,983,293555.42,306.42
CMP00049,F005,Student Meal Offer,Social Media,2026-04-15,2026-04-30,51873,13971,1186,605,190770.89,267.77
CMP00050,F050,Weekend Biryani Offer,Local Promotion,2026-03-13,2026-03-17,21935,68623,13674,1512,93574.58,326.6
CMP00051,F049,Chef Special Promotion,Search,2026-01-15,2026-01-28,62395,35006,4859,1288,289444.92,363.89
