outlet_id,franchise_id,outlet_name,address,city,state,pincode,status
O0001,F001,Royal Biryani House - Civil Lines,"156, Civil Lines",Hyderabad,Telangana,493385,Active
O0002,F001,Royal Biryani House - Ring Road,"277, Ring Road",Chandigarh,Chandigarh,401795,Active
O0003,F001,Royal Biryani House - Indirapuram,"197, Indirapuram",Delhi,Delhi,549948,Active
O0004,F001,Royal Biryani House - Central Market,"163, Central Market",Hyderabad,Telangana,531099,Active
O0005,F001,Royal Biryani House - Sector 18,"72, Sector 18",Hyderabad,Telangana,316114,Active
O0006,F001,Royal Biryani House - Main Market,"287, Main Market",Indore,Madhya Pradesh,330212,Active
O0007,F001,Royal Biryani House - City Centre,"36, City Centre",Noida,Uttar Pradesh,434220,Active
O0008,F001,Royal Biryani House - Vaibhav Khand,"243, Vaibhav Khand",Hyderabad,Telangana,258486,Active
O0009,F001,Royal Biryani House - Vaibhav Khand,"260, Vaibhav Khand",Pune,Maharashtra,462723,Active
O0010,F001,Royal Biryani House - Station Road,"27, Station Road",Mumbai,Maharashtra,481869,Active
O0011,F002,Hyderabadi Zaika - Gomti Nagar,"297, Gomti Nagar",Bengaluru,Karnataka,115409,Active
O0012,F002,Hyderabadi Zaika - Sector 50,"286, Sector 50",Lucknow,Uttar Pradesh,334231,Warning
O0013,F002,Hyderabadi Zaika - Gomti Nagar,"30, Gomti Nagar",Hyderabad,Telangana,390180,Active
O0014,F002,Hyderabadi Zaika - Indirapuram,"285, Indirapuram",Jaipur,Rajasthan,669030,Active
O0015,F002,Hyderabadi Zaika - Raj Nagar,"158, Raj Nagar",Ghaziabad,Uttar Pradesh,474718,Active
O0016,F002,Hyderabadi Zaika - Sector 50,"295, Sector 50",Mumbai,Maharashtra,395819,Active
O0017,F002,Hyderabadi Zaika - Central Market,"179, Central Market",Delhi,Delhi,130149,Active
O0018,F002,Hyderabadi Zaika - MG Road,"28, MG Road",Jaipur,Rajasthan,317923,Active
O0019,F002,Hyderabadi Zaika - Ring Road,"249, Ring Road",Noida,Uttar Pradesh,131666,Active
O0020,F002,Hyderabadi Zaika - Mall Road,"71, Mall Road",Hyderabad,Telangana,532590,Active
O0021,F003,Nawab's Kitchen - Vaibhav Khand,"201, Vaibhav Khand",Kolkata,West Bengal,302190,Active
O0022,F003,Nawab's Kitchen - Sector 62,"57, Sector 62",Jaipur,Rajasthan,332707,Active
O0023,F003,Nawab's Kitchen - Raj Nagar,"162, Raj Nagar",Hyderabad,Telangana,441520,Active
O0024,F003,Nawab's Kitchen - Civil Lines,"48, Civil Lines",Kochi,Kerala,436983,Active
O0025,F003,Nawab's Kitchen - Civil Lines,"246, Civil Lines",Ahmedabad,Gujarat,188662,Active
O0026,F003,Nawab's Kitchen - Mall Road,"124, Mall Road",Hyderabad,Telangana,345863,Active
