sale_id,outlet_id,item_id,sale_date,quantity,unit_price,total_amount,payment_method,order_channel
SALE000001,O0327,I0112,2025-10-15,1,249.43,249.43,UPI,Delivery
SALE000002,O0461,I0020,2026-01-27,2,483.65,967.3,UPI,Delivery
SALE000003,O0252,I0087,2026-04-15,1,173.27,173.27,Card,Takeaway
SALE000004,O0160,I0064,2025-10-25,2,431.54,863.08,UPI,Delivery
SALE000005,O0026,I0012,2025-09-18,1,525.21,525.21,UPI,Dine-in
SALE000006,O0150,I0064,2026-04-15,1,438.46,438.46,Card,Delivery
SALE000007,O0356,I0119,2026-02-16,1,250.23,250.23,UPI,Dine-in
SALE000008,O0206,I0073,2025-12-27,2,171.0,342.0,Card,Dine-in
SALE000009,O0016,I0008,2026-06-19,1,370.3,370.3,Card,Dine-in
SALE000010,O0100,I0018,2026-02-16,2,360.18,720.36,Cash,Dine-in
SALE000011,O0278,I0092,2026-04-09,3,163.86,491.58,Cash,Delivery
SALE000012,O0032,I0161,2026-05-02,1,548.46,548.46,UPI,Online
SALE000013,O0205,I0073,2026-06-12,2,156.47,312.94,UPI,Dine-in
SALE000014,O0176,I0063,2026-03-09,1,343.08,343.08,UPI,Delivery
SALE000015,O0392,I0135,2026-05-11,2,406.87,813.74,UPI,Online
SALE000016,O0191,I0276,2025-11-18,1,280.44,280.44,Cash,Online
SALE000017,O0418,I0022,2025-09-29,1,310.39,310.39,UPI,Dine-in
SALE000018,O0421,I0035,2026-04-15,1,474.92,474.92,UPI,Delivery
SALE000019,O0188,I0273,2025-11-12,1,315.46,315.46,UPI,Takeaway
SALE000020,O0362,I0125,2026-04-12,1,297.78,297.78,UPI,Delivery
SALE000021,O0033,I0189,2025-12-12,1,471.15,471.15,UPI,Dine-in
SALE000022,O0185,I0066,2026-06-10,3,124.63,373.89,UPI,Delivery
SALE000023,O0464,I0021,2026-04-12,1,308.18,308.18,UPI,Online
SALE000024,O0444,I0076,2026-01-04,1,216.02,216.02,Wallet,Takeaway
SALE000025,O0195,I0066,2025-11-11,2,133.29,266.58,Card,Takeaway
SALE000026,O0050,I0018,2026-02-09,1,413.41,413.41,UPI,Dine-in
SALE000027,O0228,I0080,2025-09-16,1,153.13,153.13,Card,Delivery
SALE000028,O0465,I0021,2026-02-03,1,285.66,285.66,UPI,Online
SALE000029,O0094,I0024,2025-12-26,2,247.8,495.6,Card,Takeaway
SALE000030,O0014,I0159,2026-01-21,2,483.0,966.0,UPI,Delivery
SALE000031,O0013,I0161,2026-01-19,1,548.56,548.56,Wallet,Online
SALE000032,O0030,I0015,2026-04-04,1,237.02,237.02,Cash,Delivery
SALE000033,O0229,I0081,2026-01-16,1,218.0,218.0,UPI,Delivery
SALE000034,O0375,I0129,2025-11-21,2,98.23,196.46,Card,Delivery
SALE000035,O0287,I0099,2026-05-08,2,249.91,499.82,UPI,Delivery
SALE000036,O0217,I0072,2025-10-17,1,124.07,124.07,Card,Takeaway
SALE000037,O0010,I0190,2025-12-19,4,285.41,1141.64,Wallet,Dine-in
SALE000038,O0096,I0024,2026-01-10,3,241.92,725.76,UPI,Delivery
SALE000039,O0422,I0035,2026-05-21,2,485.37,970.74,Card,Online
SALE000040,O0404,I0140,2026-05-19,1,98.71,98.71,UPI,Delivery
SALE000041,O0482,I0023,2026-04-11,1,268.16,268.16,UPI,Dine-in
SALE000042,O0315,I0106,2026-08-09,1,284.97,284.97,Card,Delivery
SALE000043,O0016,I0158,2025-09-06,1,131.37,131.37,Cash,Delivery
SALE000044,O0354,I0120,2025-12-07,3,381.4,1144.2,UPI,Takeaway
SALE000045,O0067,I0028,2025-12-06,1,409.59,409.59,UPI,Delivery
SALE000046,O0422,I0033,2025-09-18,1,360.83,360.83,UPI,Takeaway
SALE000047,O0038,I0165,2025-09-23,4,396.27,1585.08,Card,Online
SALE000048,O0023,I0016,2025-10-20,1,356.02,356.02,Card,Dine-in
SALE000049,O0417,I0025,2025-09-19,1,97.01,97.01,UPI,Delivery
