item_id,item_name,category,food_type,listed_price
I0001,Chicken Dum Biryani,Biryani,Non-Veg,349
I0002,Hyderabadi Chicken Biryani,Biryani,Non-Veg,399
I0003,Chicken Boneless Biryani,Biryani,Non-Veg,429
I0004,Chicken 65 Biryani,Biryani,Non-Veg,449
I0005,Mutton Biryani,Biryani,Non-Veg,499
I0006,Egg Biryani,Biryani,Egg,299
I0007,Veg Dum Biryani,Biryani,Veg,279
I0008,Paneer Biryani,Biryani,Veg,349
I0009,Mushroom Biryani,Biryani,Veg,329
I0010,Butter Chicken,Mughlai,Non-Veg,399
I0011,Chicken Handi,Mughlai,Non-Veg,449
I0012,Mutton Rogan Josh,Mughlai,Non-Veg,499
I0013,Chicken Korma,Mughlai,Non-Veg,429
I0014,Shahi Paneer,Mughlai,Veg,329
I0015,Dal Makhani,Mughlai,Veg,249
I0016,Chicken Tikka,Mughlai,Non-Veg,349
I0017,Seekh Kebab,Mughlai,Non-Veg,399
I0018,Kadai Chicken,North Indian,Non-Veg,379
I0019,Chicken Curry,North Indian,Non-Veg,349
I0020,Mutton Curry,North Indian,Non-Veg,449
I0021,Paneer Butter Masala,North Indian,Veg,299
I0022,Kadai Paneer,North Indian,Veg,299
I0023,Dal Makhani,North Indian,Veg,249
I0024,Chole Masala,North Indian,Veg,229
I0025,Garlic Naan,North Indian,Veg,89
I0026,Amritsari Kulcha,Punjabi,Veg,149
I0027,Chole Bhature,Punjabi,Veg,199
I0028,Butter Chicken,Punjabi,Non-Veg,399
I0029,Punjabi Chicken Curry,Punjabi,Non-Veg,379
I0030,Rajma Chawal,Punjabi,Veg,229
I0031,Paneer Tikka,Punjabi,Veg,299
I0032,Tandoori Chicken,Tandoori,Non-Veg,449
I0033,Chicken Tikka,Tandoori,Non-Veg,349
I0034,Malai Chicken Tikka,Tandoori,Non-Veg,399
I0035,Afghani Chicken,Tandoori,Non-Veg,449
I0036,Paneer Tikka,Tandoori,Veg,299
I0037,Hara Bhara Kebab,Tandoori,Veg,249
I0038,Lucknowi Chicken Biryani,Awadhi,Non-Veg,429
I0039,Awadhi Mutton Biryani,Awadhi,Non-Veg,529
I0040,Galouti Kebab,Awadhi,Non-Veg,449
I0041,Kakori Kebab,Awadhi,Non-Veg,449
I0042,Awadhi Chicken Korma,Awadhi,Non-Veg,429
I0043,Shahi Paneer,Awadhi,Veg,329
I0044,Chicken Seekh Kebab,Kebab,Non-Veg,349
I0045,Mutton Seekh Kebab,Kebab,Non-Veg,449
I0046,Chicken Shami Kebab,Kebab,Non-Veg,349
I0047,Galouti Kebab,Kebab,Non-Veg,449
I0048,Paneer Seekh Kebab,Kebab,Veg,299
I0049,Grilled Chicken,Grill,Non-Veg,449
I0050,Peri Peri Chicken,Grill,Non-Veg,429
I0051,Chicken Wings,Grill,Non-Veg,329
I0052,Grilled Paneer,Grill,Veg,299
I0053,Crispy Fried Chicken,Fried Chicken,Non-Veg,249
I0054,Chicken Popcorn,Fried Chicken,Non-Veg,229
I0055,Chicken Strips,Fried Chicken,Non-Veg,279
I0056,Spicy Chicken Wings,Fried Chicken,Non-Veg,299
I0057,Chicken Bucket,Fried Chicken,Non-Veg,599
I0058,Margherita Pizza,Pizza,Veg,249
I0059,Farmhouse Pizza,Pizza,Veg,399
I0060,Paneer Tikka Pizza,Pizza,Veg,449
I0061,Chicken Tikka Pizza,Pizza,Non-Veg,499
I0062,Chicken Pepperoni Pizza,Pizza,Non-Veg,549
I0063,Double Cheese Pizza,Pizza,Veg,349
I0064,Veg Supreme Pizza,Pizza,Veg,449
I0065,BBQ Chicken Pizza,Pizza,Non-Veg,499
I0066,Classic Veg Burger,Burger,Veg,129
I0067,Classic Chicken Burger,Burger,Non-Veg,179
I0068,Crispy Chicken Burger,Burger,Non-Veg,229
I0069,Chicken Tikka Burger,Burger,Non-Veg,249
I0070,Paneer Burger,Burger,Veg,199
I0071,Double Chicken Burger,Burger,Non-Veg,299
I0072,Veg Momos,Momos,Veg,129
I0073,Paneer Momos,Momos,Veg,159
I0074,Chicken Momos,Momos,Non-Veg,179
I0075,Chicken Tandoori Momos,Momos,Non-Veg,229
I0076,Fried Chicken Momos,Momos,Non-Veg,199
I0077,Chicken Kathi Roll,Rolls,Non-Veg,199
I0078,Double Chicken Kathi Roll,Rolls,Non-Veg,249
I0079,Paneer Kathi Roll,Rolls,Veg,179
I0080,Egg Kathi Roll,Rolls,Egg,149
I0081,Chicken Seekh Roll,Rolls,Non-Veg,219
I0082,Chicken Shawarma Wrap,Wraps,Non-Veg,199
I0083,Chicken Tikka Wrap,Wraps,Non-Veg,229
I0084,Paneer Tikka Wrap,Wraps,Veg,199
I0085,Veggie Wrap,Wraps,Veg,149
I0086,Masala Dosa,South Indian,Veg,149
I0087,Mysore Masala Dosa,South Indian,Veg,179
I0088,Paneer Dosa,South Indian,Veg,199
I0089,Plain Dosa,South Indian,Veg,119
I0090,Idli Sambar,South Indian,Veg,99
I0091,Medu Vada,South Indian,Veg,109
I0092,Masala Uttapam,South Indian,Veg,159
I0093,Veg Hakka Noodles,Chinese,Veg,199
I0094,Chicken Hakka Noodles,Chinese,Non-Veg,249
I0095,Chicken Fried Rice,Chinese,Non-Veg,269
I0096,Veg Fried Rice,Chinese,Veg,199
I0097,Chilli Chicken,Chinese,Non-Veg,299
I0098,Chicken Manchurian,Chinese,Non-Veg,299
I0099,Paneer Chilli,Chinese,Veg,249
I0100,Chicken Hakka Noodles,Indian Chinese,Non-Veg,249
I0101,Chicken Chilli,Indian Chinese,Non-Veg,299
I0102,Chicken Fried Rice,Indian Chinese,Non-Veg,269
I0103,Paneer Chilli,Indian Chinese,Veg,249
I0104,Schezwan Noodles,Indian Chinese,Veg,229
I0105,Arrabbiata Pasta,Pasta,Veg,249
I0106,Alfredo Pasta,Pasta,Veg,279
