outlet_id,item_id,inventory_id,minimum_stock,maximum_stock,current_stock,reorder_level,stock_status,last_updated
O0001,I0006,INV000001,15,59,76,22,Healthy,2026-08-31
O0001,I0008,INV000002,19,103,41,23,Healthy,2026-08-31
O0001,I0197,INV000003,10,37,47,17,Healthy,2026-08-31
O0001,I0189,INV000004,25,91,119,32,Healthy,2026-08-31
O0001,I0202,INV000005,28,65,101,36,Healthy,2026-08-31
O0001,I0192,INV000006,10,74,71,18,Healthy,2026-08-31
O0001,I0160,INV000007,23,95,67,31,Healthy,2026-08-31
O0001,I0172,INV000008,24,60,23,28,Low Stock,2026-08-31
O0001,I0162,INV000009,9,36,107,17,Healthy,2026-08-31
O0001,I0190,INV000010,23,77,18,24,Low Stock,2026-08-31
O0001,I0159,INV000011,12,57,29,14,Healthy,2026-08-31
O0001,I0193,INV000012,9,101,1,9,Critical,2026-08-31
O0001,I0171,INV000013,10,68,108,12,Healthy,2026-08-31
O0001,I0188,INV000014,26,54,42,28,Healthy,2026-08-31
O0001,I0005,INV000015,27,119,101,30,Healthy,2026-08-31
O0001,I0196,INV000016,30,69,38,35,Healthy,2026-08-31
O0001,I0163,INV000017,24,108,104,25,Healthy,2026-08-31
O0001,I0003,INV000018,28,88,98,34,Healthy,2026-08-31
O0002,I0198,INV000019,28,88,103,35,Healthy,2026-08-31
O0002,I0002,INV000020,11,59,18,18,Low Stock,2026-08-31
O0002,I0167,INV000021,26,89,5,26,Critical,2026-08-31
O0002,I0159,INV000022,8,40,96,10,Healthy,2026-08-31
O0002,I0200,INV000023,16,44,13,25,Low Stock,2026-08-31
O0002,I0165,INV000024,12,109,7,13,Low Stock,2026-08-31
O0002,I0201,INV000025,21,66,39,22,Healthy,2026-08-31
O0002,I0171,INV000026,21,47,18,29,Low Stock,2026-08-31
O0002,I0199,INV000027,8,65,39,14,Healthy,2026-08-31
O0002,I0008,INV000028,14,112,20,14,Healthy,2026-08-31
O0002,I0190,INV000029,12,85,115,21,Healthy,2026-08-31
O0002,I0192,INV000030,30,129,26,32,Low Stock,2026-08-31
O0002,I0168,INV000031,30,108,32,35,Low Stock,2026-08-31
O0002,I0197,INV000032,25,83,88,33,Healthy,2026-08-31
O0002,I0170,INV000033,21,63,57,30,Healthy,2026-08-31
O0002,I0160,INV000034,10,61,71,16,Healthy,2026-08-31
O0002,I0001,INV000035,9,91,21,17,Healthy,2026-08-31
O0002,I0007,INV000036,8,38,15,8,Healthy,2026-08-31
O0003,I0007,INV000037,14,40,4,16,Critical,2026-08-31
O0003,I0008,INV000038,23,90,8,24,Critical,2026-08-31
O0003,I0193,INV000039,11,75,4,16,Critical,2026-08-31
O0003,I0158,INV000040,16,52,52,23,Healthy,2026-08-31
O0003,I0159,INV000041,22,50,30,26,Healthy,2026-08-31
O0003,I0009,INV000042,26,58,1,32,Critical,2026-08-31
O0003,I0171,INV000043,14,45,46,15,Healthy,2026-08-31
O0003,I0003,INV000044,28,55,3,29,Critical,2026-08-31
O0003,I0189,INV000045,20,95,66,22,Healthy,2026-08-31
O0003,I0165,INV000046,29,63,16,31,Low Stock,2026-08-31
O0003,I0170,INV000047,13,75,91,17,Healthy,2026-08-31
O0003,I0200,INV000048,11,51,61,14,Healthy,2026-08-31
O0003,I0188,INV000049,12,93,109,16,Healthy,2026-08-31
O0003,I0195,INV000050,25,92,111,28,Healthy,2026-08-31
O0003,I0199,INV000051,19,78,96,20,Healthy,2026-08-31
O0003,I0169,INV000052,20,92,114,26,Healthy,2026-08-31
O0003,I0194,INV000053,9,100,58,9,Healthy,2026-08-31
O0003,I0163,INV000054,28,63,97,32,Healthy,2026-08-31
O0004,I0158,INV000055,17,89,25,17,Healthy,2026-08-31
O0004,I0159,INV000056,21,114,36,29,Healthy,2026-08-31
O0004,I0161,INV000057,16,61,56,25,Healthy,2026-08-31
O0004,I0001,INV000058,29,114,19,38,Critical,2026-08-31
O0004,I0163,INV000059,23,48,64,24,Healthy,2026-08-31
O0004,I0197,INV000060,8,35,95,15,Healthy,2026-08-31
O0004,I0164,INV000061,23,89,13,30,Critical,2026-08-31
O0004,I0008,INV000062,25,119,64,28,Healthy,2026-08-31
O0004,I0166,INV000063,12,58,23,13,Healthy,2026-08-31
O0004,I0170,INV000064,8,79,50,14,Healthy,2026-08-31
O0004,I0194,INV000065,28,118,48,34,Healthy,2026-08-31
O0004,I0004,INV000066,17,49,28,19,Healthy,2026-08-31
O0004,I0160,INV000067,26,79,38,33,Healthy,2026-08-31
O0004,I0007,INV000068,8,48,99,16,Healthy,2026-08-31
O0004,I0167,INV000069,15,61,6,22,Critical,2026-08-31
O0004,I0165,INV000070,25,69,90,27,Healthy,2026-08-31
O0004,I0172,INV000071,19,67,6,28,Critical,2026-08-31
O0004,I0199,INV000072,11,48,108,18,Healthy,2026-08-31
O0005,I0160,INV000073,12,99,7,14,Critical,2026-08-31
O0005,I0193,INV000074,10,76,50,18,Healthy,2026-08-31
O0005,I0003,INV000075,9,69,112,16,Healthy,2026-08-31
O0005,I0188,INV000076,15,78,24,24,Low Stock,2026-08-31
O0005,I0162,INV000077,28,114,116,30,Healthy,2026-08-31
O0005,I0164,INV000078,13,97,103,21,Healthy,2026-08-31
O0005,I0171,INV000079,26,69,50,27,Healthy,2026-08-31
O0005,I0002,INV000080,13,46,10,21,Critical,2026-08-31
O0005,I0166,INV000081,27,85,41,33,Healthy,2026-08-31
O0005,I0006,INV000082,17,113,3,23,Critical,2026-08-31
O0005,I0158,INV000083,25,115,65,34,Healthy,2026-08-31
O0005,I0189,INV000084,28,113,59,28,Healthy,2026-08-31
O0005,I0198,INV000085,12,40,95,18,Healthy,2026-08-31
O0005,I0194,INV000086,15,67,16,21,Low Stock,2026-08-31
O0005,I0163,INV000087,24,59,68,31,Healthy,2026-08-31
O0005,I0168,INV000088,23,112,112,28,Healthy,2026-08-31
O0005,I0170,INV000089,12,97,53,20,Healthy,2026-08-31
O0005,I0172,INV000090,27,70,67,29,Healthy,2026-08-31
O0006,I0161,INV000091,21,68,76,25,Healthy,2026-08-31
O0006,I0165,INV000092,15,47,81,23,Healthy,2026-08-31
O0006,I0189,INV000093,27,60,30,28,Healthy,2026-08-31
O0006,I0001,INV000094,29,70,8,35,Critical,2026-08-31
O0006,I0009,INV000095,24,57,12,28,Critical,2026-08-31
O0006,I0170,INV000096,30,121,75,33,Healthy,2026-08-31
O0006,I0195,INV000097,28,62,47,30,Healthy,2026-08-31
O0006,I0158,INV000098,11,41,99,16,Healthy,2026-08-31
O0006,I0162,INV000099,15,43,3,22,Critical,2026-08-31
O0006,I0005,INV000100,23,95,76,29,Healthy,2026-08-31
O0006,I0198,INV000101,29,116,80,38,Healthy,2026-08-31
O0006,I0163,INV000102,26,58,66,30,Healthy,2026-08-31
O0006,I0168,INV000103,24,54,14,24,Low Stock,2026-08-31
O0006,I0160,INV000104,23,82,0,25,Out of Stock,2026-08-31
O0006,I0169,INV000105,22,92,3,29,Critical,2026-08-31
O0006,I0004,INV000106,18,93,107,27,Healthy,2026-08-31
O0006,I0200,INV000107,23,54,83,27,Healthy,2026-08-31
O0006,I0197,INV000108,22,103,40,27,Healthy,2026-08-31
O0007,I0166,INV000109,19,115,44,24,Healthy,2026-08-31
O0007,I0188,INV000110,11,77,38,14,Healthy,2026-08-31
O0007,I0191,INV000111,18,67,79,19,Healthy,2026-08-31
O0007,I0163,INV000112,15,60,105,16,Healthy,2026-08-31
O0007,I0199,INV000113,30,108,95,38,Healthy,2026-08-31
O0007,I0189,INV000114,17,97,115,17,Healthy,2026-08-31
O0007,I0193,INV000115,8,53,93,15,Healthy,2026-08-31
O0007,I0170,INV000116,16,55,5,16,Critical,2026-08-31
O0007,I0162,INV000117,10,76,20,11,Healthy,2026-08-31
O0007,I0190,INV000118,27,107,101,33,Healthy,2026-08-31
O0007,I0197,INV000119,18,51,98,25,Healthy,2026-08-31
O0007,I0192,INV000120,10,42,80,13,Healthy,2026-08-31
O0007,I0196,INV000121,23,51,61,24,Healthy,2026-08-31
O0007,I0167,INV000122,20,51,32,23,Healthy,2026-08-31
O0007,I0005,INV000123,27,88,89,27,Healthy,2026-08-31
O0007,I0004,INV000124,28,59,20,36,Low Stock,2026-08-31
O0007,I0165,INV000125,27,57,45,33,Healthy,2026-08-31
O0007,I0161,INV000126,24,67,50,33,Healthy,2026-08-31
O0008,I0172,INV000127,30,62,35,31,Healthy,2026-08-31
O0008,I0003,INV000128,30,68,94,39,Healthy,2026-08-31
O0008,I0197,INV000129,8,90,89,11,Healthy,2026-08-31
O0008,I0190,INV000130,9,89,58,10,Healthy,2026-08-31
O0008,I0001,INV000131,22,71,15,22,Low Stock,2026-08-31
O0008,I0193,INV000132,20,64,21,21,Low Stock,2026-08-31
O0008,I0005,INV000133,25,71,94,28,Healthy,2026-08-31
O0008,I0202,INV000134,27,72,83,36,Healthy,2026-08-31
O0008,I0168,INV000135,12,75,17,17,Low Stock,2026-08-31
O0008,I0164,INV000136,20,75,30,29,Healthy,2026-08-31
O0008,I0195,INV000137,14,63,96,19,Healthy,2026-08-31
O0008,I0006,INV000138,20,78,20,21,Low Stock,2026-08-31
O0008,I0169,INV000139,23,107,84,23,Healthy,2026-08-31
O0008,I0159,INV000140,28,123,23,35,Low Stock,2026-08-31
O0008,I0162,INV000141,8,97,65,14,Healthy,2026-08-31
O0008,I0167,INV000142,17,104,24,19,Healthy,2026-08-31
O0008,I0198,INV000143,30,68,53,37,Healthy,2026-08-31
O0008,I0199,INV000144,10,94,56,11,Healthy,2026-08-31
O0009,I0192,INV000145,17,60,60,22,Healthy,2026-08-31
O0009,I0003,INV000146,28,58,80,28,Healthy,2026-08-31
O0009,I0005,INV000147,18,60,29,18,Healthy,2026-08-31
O0009,I0006,INV000148,20,109,19,27,Low Stock,2026-08-31
O0009,I0168,INV000149,19,51,43,24,Healthy,2026-08-31
O0009,I0002,INV000150,11,41,13,14,Low Stock,2026-08-31
O0009,I0004,INV000151,13,94,61,16,Healthy,2026-08-31
O0009,I0159,INV000152,22,73,32,26,Healthy,2026-08-31
O0009,I0189,INV000153,19,47,101,27,Healthy,2026-08-31
