performance_id,outlet_id,period,revenue,previous_revenue,target_revenue,orders,customers,revenue_growth,target_achievement,aov,health_score,performance_status
P00001,O0001,2026-08,16020.58,23044.83,16804.16,38,38,-30.48,95.34,421.59,77,Good
P00002,O0002,2026-08,18444.23,20131.62,19266.71,34,34,-8.38,95.73,542.48,70,Good
P00003,O0003,2026-08,15635.05,21509.34,17055.05,30,30,-27.31,91.67,521.17,72,Good
P00004,O0004,2026-08,20639.59,17974.52,20470.96,39,39,14.83,100.82,529.22,84,Good
P00005,O0005,2026-08,22398.43,28991.14,23380.59,50,50,-22.74,95.8,447.97,78,Good
P00006,O0006,2026-08,28913.329999999998,20895.670000000002,27517.76,52,52,38.37,105.07,556.03,99,Excellent
P00007,O0007,2026-08,25807.44,24650.02,28552.67,40,40,4.7,90.39,645.19,71,Good
P00008,O0008,2026-08,19929.100000000002,23830.57,19574.62,34,34,-16.37,101.81,586.15,77,Good
P00009,O0009,2026-08,25620.65,23181.66,25667.54,43,43,10.52,99.82,595.83,76,Good
P00010,O0010,2026-08,29402.77,17577.18,28503.67,55,55,67.28,103.15,534.6,92,Excellent
P00011,O0011,2026-08,17821.24,24645.02,19266.49,33,33,-27.69,92.5,540.04,76,Good
P00012,O0012,2026-08,18228.25,23634.13,19994.6,33,33,-22.87,91.17,552.37,65,Average
P00013,O0013,2026-08,21475.46,29267.18,20819.94,34,34,-26.62,103.15,631.63,81,Good
P00014,O0014,2026-08,20408.72,22026.489999999998,20734.64,40,40,-7.34,98.43,510.22,84,Good
P00015,O0015,2026-08,15064.039999999999,16714.02,16808.13,33,33,-9.87,89.62,456.49,77,Good
P00016,O0016,2026-08,26976.74,16539.95,26353.22,45,45,63.1,102.37,599.48,86,Excellent
P00017,O0017,2026-08,32772.9,15910.91,31820.69,64,64,105.98,102.99,512.08,96,Excellent
P00018,O0018,2026-08,18454.45,25619.62,18738.15,40,40,-27.97,98.49,461.36,70,Good
P00019,O0019,2026-08,21192.39,27141.2,23086.53,35,35,-21.92,91.8,605.5,62,Average
P00020,O0020,2026-08,19061.45,27278.49,18513.9,37,37,-30.12,102.96,515.17,82,Good
P00021,O0021,2026-08,8713.289999999999,8117.84,8542.95,16,16,7.34,101.99,544.58,87,Excellent
P00022,O0022,2026-08,11728.61,8040.12,11444.73,21,21,45.88,102.48,558.51,95,Excellent
P00023,O0023,2026-08,9589.03,15997.460000000001,9568.32,17,17,-40.06,100.22,564.06,78,Good
P00024,O0024,2026-08,16358.0,6453.3099999999995,17539.58,24,24,153.48,93.26,681.58,93,Excellent
P00025,O0025,2026-08,14349.48,14128.5,15915.24,20,20,1.56,90.16,717.47,70,Good
P00026,O0026,2026-08,10901.41,20038.39,10417.88,16,16,-45.6,104.64,681.34,71,Good
P00027,O0027,2026-08,11440.18,12974.18,12197.47,18,18,-11.82,93.79,635.57,78,Good
P00028,O0028,2026-08,15504.16,17357.69,15896.4,28,28,-10.68,97.53,553.72,75,Good
P00029,O0029,2026-08,12294.59,11861.09,13330.26,17,17,3.65,92.23,723.21,79,Good
P00030,O0030,2026-08,7372.74,13695.03,7171.17,17,17,-46.16,102.81,433.69,75,Good
P00031,O0031,2026-08,21210.05,18124.07,22971.4,40,40,17.03,92.33,530.25,86,Excellent
P00032,O0032,2026-08,31906.260000000002,26438.34,32052.88,54,54,20.68,99.54,590.86,81,Good
P00033,O0033,2026-08,21315.51,26932.03,20617.8,47,47,-20.85,103.38,453.52,77,Good
P00034,O0034,2026-08,27062.15,26219.61,26684.8,56,56,3.21,101.41,483.25,83,Good
P00035,O0035,2026-08,20568.24,23832.84,22064.9,42,42,-13.7,93.22,489.72,67,Average
P00036,O0036,2026-08,19673.71,21533.35,18844.65,35,35,-8.64,104.4,562.11,86,Excellent
P00037,O0037,2026-08,23827.41,24089.96,23812.41,40,40,-1.09,100.06,595.69,82,Good
P00038,O0038,2026-08,29570.38,24461.21,31243.41,42,42,20.89,94.65,704.06,85,Excellent
P00039,O0039,2026-08,21492.52,22525.32,23348.95,40,40,-4.59,92.05,537.31,73,Good
P00040,O0040,2026-08,18225.46,20973.51,17976.75,36,36,-13.1,101.38,506.26,75,Good
P00041,O0041,2026-08,12080.68,12023.56,12805.69,23,23,0.48,94.34,525.25,82,Good
P00042,O0042,2026-08,5661.85,13343.99,5769.02,12,12,-57.57,98.14,471.82,73,Good
P00043,O0043,2026-08,7760.54,11287.19,8383.26,16,16,-31.24,92.57,485.03,61,Average
P00044,O0044,2026-08,6207.87,8396.42,6580.69,15,15,-26.07,94.33,413.86,70,Good
P00045,O0045,2026-08,6851.94,7301.6900000000005,6573.19,16,16,-6.16,104.24,428.25,78,Good
P00046,O0046,2026-08,9590.31,8957.35,10031.91,17,17,7.07,95.6,564.14,80,Good
P00047,O0047,2026-08,6237.92,9170.39,6497.61,13,13,-31.98,96.0,479.84,73,Good
P00048,O0048,2026-08,12764.0,10862.36,13031.29,26,26,17.51,97.95,490.92,87,Excellent
P00049,O0049,2026-08,8445.73,11313.83,9328.4,17,17,-25.35,90.54,496.81,74,Good
P00050,O0050,2026-08,6126.9800000000005,6656.31,6385.25,14,14,-7.95,95.96,437.64,81,Good
P00051,O0051,2026-08,12624.61,6782.04,13863.2,16,16,86.15,91.07,789.04,85,Excellent
P00052,O0052,2026-08,14626.560000000001,10900.710000000001,14900.3,23,23,34.18,98.16,635.94,88,Excellent
P00053,O0053,2026-08,8687.68,5535.77,8654.98,18,18,56.94,100.38,482.65,93,Excellent
P00054,O0054,2026-08,5281.04,8690.78,5603.88,16,16,-39.23,94.24,330.06,74,Good
P00055,O0055,2026-08,13538.53,8645.6,14261.74,21,21,56.59,94.93,644.69,82,Good
P00056,O0056,2026-08,9276.33,9521.03,9201.86,17,17,-2.57,100.81,545.67,78,Good
P00057,O0057,2026-08,10452.14,6357.36,10585.15,19,19,64.41,98.74,550.11,93,Excellent
P00058,O0058,2026-08,4671.79,7900.1900000000005,5197.49,10,10,-40.86,89.89,467.18,57,Poor
P00059,O0059,2026-08,11308.0,10907.25,11877.91,22,22,3.67,95.2,514.0,74,Good
P00060,O0060,2026-08,9656.75,10912.47,9670.59,17,17,-11.51,99.86,568.04,72,Good
P00061,O0061,2026-08,6133.58,5148.4800000000005,5992.42,13,13,19.13,102.36,471.81,92,Excellent
P00062,O0062,2026-08,6577.8,11192.36,6384.06,13,13,-41.23,103.03,505.98,68,Average
P00063,O0063,2026-08,6453.34,7156.27,6573.87,16,16,-9.82,98.17,403.33,72,Good
P00064,O0064,2026-08,5430.82,12164.1,5471.86,15,15,-55.35,99.25,362.05,70,Good
P00065,O0065,2026-08,3774.31,8307.05,4209.36,7,7,-54.56,89.66,539.19,64,Average
P00066,O0066,2026-08,5829.84,10425.4,6091.06,15,15,-44.08,95.71,388.66,70,Good
P00067,O0067,2026-08,7778.11,9332.52,8587.63,14,14,-16.66,90.57,555.58,68,Average
P00068,O0068,2026-08,9204.87,7795.83,9903.19,14,14,18.07,92.95,657.49,75,Good
P00069,O0069,2026-08,6992.4,6162.91,7470.86,18,18,13.46,93.6,388.47,76,Good
P00070,O0070,2026-08,6190.29,9294.09,6439.98,12,12,-33.4,96.12,515.86,63,Average
P00071,O0071,2026-08,11828.89,11454.64,11845.7,22,22,3.27,99.86,537.68,87,Excellent
P00072,O0072,2026-08,9007.15,11624.02,8937.14,14,14,-22.51,100.78,643.37,74,Good
P00073,O0073,2026-08,8968.32,9892.24,9500.21,12,12,-9.34,94.4,747.36,78,Good
P00074,O0074,2026-08,12444.79,12006.65,12771.27,20,20,3.65,97.44,622.24,87,Excellent
P00075,O0075,2026-08,11285.17,10398.02,11546.68,16,16,8.53,97.74,705.32,87,Excellent
P00076,O0076,2026-08,7276.599999999999,13147.18,7638.65,13,13,-44.65,95.26,559.74,66,Average
P00077,O0077,2026-08,8902.94,9066.11,9072.18,15,15,-1.8,98.13,593.53,74,Good
P00078,O0078,2026-08,17844.93,15811.24,19719.14,27,27,12.86,90.5,660.92,84,Good
P00079,O0079,2026-08,11484.86,8952.31,11769.18,20,20,28.29,97.58,574.24,82,Good
P00080,O0080,2026-08,8593.32,12021.89,8851.42,17,17,-28.52,97.08,505.49,77,Good
P00081,O0081,2026-08,13799.449999999999,8091.07,13309.43,17,17,70.55,103.68,811.73,93,Excellent
P00082,O0082,2026-08,7213.7,13325.54,7899.8,15,15,-45.87,91.31,480.91,59,Poor
P00083,O0083,2026-08,5386.6900000000005,16082.88,5808.79,7,7,-66.51,92.73,769.53,68,Average
P00084,O0084,2026-08,4918.05,10387.42,5082.07,9,9,-52.65,96.77,546.45,64,Average
P00085,O0085,2026-08,8332.96,7578.99,8434.35,16,16,9.95,98.8,520.81,84,Good
P00086,O0086,2026-08,8454.94,7170.39,9325.5,14,14,17.91,90.66,603.92,84,Good
P00087,O0087,2026-08,8310.3,9036.59,8287.21,13,13,-8.04,100.28,639.25,80,Good
P00088,O0088,2026-08,11078.960000000001,8260.94,11728.97,18,18,34.11,94.46,615.5,79,Good
P00089,O0089,2026-08,8333.75,6647.7699999999995,8267.36,12,12,25.36,100.8,694.48,86,Excellent
P00090,O0090,2026-08,9027.03,3192.33,9219.0,16,16,182.77,97.92,564.19,94,Excellent
P00091,O0091,2026-08,10617.89,6694.53,10703.59,22,22,58.61,99.2,482.63,93,Excellent
P00092,O0092,2026-08,9581.75,12928.17,10107.5,21,21,-25.88,94.8,456.27,65,Average
P00093,O0093,2026-08,9977.5,9270.460000000001,11070.53,21,21,7.63,90.13,475.12,79,Good
P00094,O0094,2026-08,9348.19,14803.02,9585.86,23,23,-36.85,97.52,406.44,63,Average
P00095,O0095,2026-08,7166.87,6756.78,6851.63,16,16,6.07,104.6,447.93,86,Excellent
P00096,O0096,2026-08,9383.22,9026.29,9079.0,22,22,3.95,103.35,426.51,87,Excellent
P00097,O0097,2026-08,9360.98,3025.66,9217.12,22,22,209.39,101.56,425.5,90,Excellent
P00098,O0098,2026-08,6377.29,5924.76,6315.14,14,14,7.64,100.98,455.52,86,Excellent
P00099,O0099,2026-08,4909.27,5225.5599999999995,5458.59,9,9,-6.05,89.94,545.47,78,Good
P00100,O0100,2026-08,10881.98,5809.99,11347.98,25,25,87.3,95.89,435.28,92,Excellent
P00101,O0101,2026-08,3403.19,11335.35,3393.93,6,6,-69.98,100.27,567.2,67,Average
P00102,O0102,2026-08,9382.26,14005.51,9806.2,11,11,-33.01,95.68,852.93,73,Good
P00103,O0103,2026-08,6610.49,10311.77,6535.43,10,10,-35.89,101.15,661.05,68,Average
P00104,O0104,2026-08,13198.369999999999,9327.85,13708.93,18,18,41.49,96.28,733.24,93,Excellent
P00105,O0105,2026-08,9165.17,16597.739999999998,9929.66,15,15,-44.78,92.3,611.01,65,Average
P00106,O0106,2026-08,11357.11,11443.15,11157.62,16,16,-0.75,101.79,709.82,80,Good
P00107,O0107,2026-08,12541.99,7807.610000000001,12769.17,15,15,60.64,98.22,836.13,92,Excellent
P00108,O0108,2026-08,6858.04,22116.239999999998,7492.83,12,12,-68.99,91.53,571.5,60,Average
P00109,O0109,2026-08,13266.84,11850.34,12804.4,17,17,11.95,103.61,780.4,86,Excellent
P00110,O0110,2026-08,17444.45,8306.92,19498.02,23,23,110.0,89.47,758.45,94,Excellent
P00111,O0111,2026-08,9829.49,6095.0,10864.19,16,16,61.27,90.48,614.34,81,Good
P00112,O0112,2026-08,5573.070000000001,9829.76,5568.26,11,11,-43.3,100.09,506.64,65,Average
P00113,O0113,2026-08,7355.95,11191.78,7580.21,11,11,-34.27,97.04,668.72,74,Good
P00114,O0114,2026-08,8962.4,7521.28,9577.0,16,16,19.16,93.58,560.15,88,Excellent
P00115,O0115,2026-08,4446.93,10546.380000000001,4776.26,8,8,-57.83,93.1,555.87,64,Average
P00116,O0116,2026-08,7108.52,5091.93,7017.81,9,9,39.6,101.29,789.84,90,Excellent
P00117,O0117,2026-08,7934.84,5786.42,8522.61,13,13,37.13,93.1,610.37,83,Good
P00118,O0118,2026-08,5721.59,8481.3,5962.76,10,10,-32.54,95.96,572.16,67,Average
P00119,O0119,2026-08,6752.6,6793.7300000000005,6730.38,14,14,-0.61,100.33,482.33,73,Good
P00120,O0120,2026-08,2563.79,10612.66,2510.18,5,5,-75.84,102.14,512.76,61,Average
P00121,O0121,2026-08,3537.17,10727.14,3813.46,8,8,-67.03,92.75,442.15,65,Average
P00122,O0122,2026-08,5532.12,3481.2799999999997,5476.99,8,8,58.91,101.01,691.52,91,Excellent
