reorder_id,outlet_id,item_id,current_stock,reorder_level,recommended_quantity,priority,status,created_at
REO000001,O0095,I0022,22,26,52,Medium,Ordered,2026-08-31
REO000002,O0012,I0161,10,31,66,High,Approved,2026-08-31
REO000003,O0192,I0273,3,28,85,High,Pending,2026-08-31
REO000004,O0043,I0024,23,30,98,Medium,Pending,2026-08-31
REO000005,O0218,I0074,14,31,110,High,Ordered,2026-08-31
REO000006,O0463,I0024,7,31,77,High,Approved,2026-08-31
REO000007,O0390,I0133,7,29,87,High,Received,2026-08-31
REO000008,O0296,I0095,13,22,47,Medium,Pending,2026-08-31
REO000009,O0092,I0020,11,16,86,Medium,Ordered,2026-08-31
REO000010,O0404,I0141,18,23,61,Medium,Pending,2026-08-31
REO000011,O0245,I0083,5,23,97,High,Pending,2026-08-31
REO000012,O0226,I0081,16,27,30,Medium,Received,2026-08-31
REO000013,O0138,I0057,12,28,41,High,Pending,2026-08-31
REO000014,O0118,I0047,12,16,38,Medium,Ordered,2026-08-31
REO000015,O0044,I0020,26,34,46,Medium,Approved,2026-08-31
REO000016,O0168,I0059,8,27,60,High,Ordered,2026-08-31
REO000017,O0122,I0052,14,23,106,Medium,Pending,2026-08-31
REO000018,O0376,I0129,3,22,67,High,Ordered,2026-08-31
REO000019,O0174,I0062,25,36,68,Medium,Pending,2026-08-31
REO000020,O0426,I0033,20,30,34,Medium,Ordered,2026-08-31
REO000021,O0472,I0102,26,27,51,Medium,Ordered,2026-08-31
REO000022,O0078,I0016,29,33,69,Medium,Ordered,2026-08-31
REO000023,O0444,I0074,15,32,58,High,Received,2026-08-31
REO000024,O0416,I0018,6,23,68,High,Ordered,2026-08-31
REO000025,O0274,I0086,6,32,122,High,Ordered,2026-08-31
REO000026,O0494,I0142,10,21,96,High,Approved,2026-08-31
REO000027,O0155,I0058,13,25,92,Medium,Ordered,2026-08-31
REO000028,O0252,I0086,22,23,37,Medium,Ordered,2026-08-31
REO000029,O0014,I0172,15,32,51,High,Approved,2026-08-31
REO000030,O0500,I0138,17,30,38,Medium,Ordered,2026-08-31
REO000031,O0271,I0086,1,27,66,High,Ordered,2026-08-31
REO000032,O0333,I0110,9,25,94,High,Ordered,2026-08-31
REO000033,O0171,I0058,9,25,80,High,Pending,2026-08-31
REO000034,O0024,I0013,9,14,39,Medium,Received,2026-08-31
REO000035,O0163,I0064,19,24,67,Medium,Pending,2026-08-31
REO000036,O0192,I0273,3,28,85,High,Approved,2026-08-31
REO000037,O0132,I0053,9,23,66,High,Pending,2026-08-31
REO000038,O0265,I0091,7,27,92,High,Ordered,2026-08-31
REO000039,O0124,I0051,28,29,64,Medium,Approved,2026-08-31
REO000040,O0153,I0061,8,15,46,Medium,Pending,2026-08-31
REO000041,O0260,I0089,29,30,76,Medium,Approved,2026-08-31
REO000042,O0006,I0168,14,24,40,Medium,Ordered,2026-08-31
REO000043,O0049,I0025,11,21,42,Medium,Ordered,2026-08-31
REO000044,O0257,I0092,10,32,48,High,Ordered,2026-08-31
REO000045,O0196,I0070,8,14,96,Medium,Approved,2026-08-31
REO000046,O0048,I0025,6,28,76,High,Pending,2026-08-31
REO000047,O0179,I0060,5,16,83,High,Ordered,2026-08-31
REO000048,O0120,I0047,17,29,42,Medium,Approved,2026-08-31
REO000049,O0410,I0138,10,21,80,High,Received,2026-08-31
REO000050,O0271,I0087,2,27,75,High,Ordered,2026-08-31
REO000051,O0197,I0263,11,31,114,High,Ordered,2026-08-31
REO000052,O0161,I0062,8,33,60,High,Ordered,2026-08-31
REO000053,O0495,I0139,4,19,104,High,Approved,2026-08-31
REO000054,O0216,I0073,11,18,86,Medium,Approved,2026-08-31
REO000055,O0486,I0021,3,29,76,High,Pending,2026-08-31
REO000056,O0044,I0020,26,34,46,Medium,Received,2026-08-31
REO000057,O0060,I0023,6,14,89,High,Approved,2026-08-31
REO000058,O0039,I0191,10,37,46,High,Ordered,2026-08-31
REO000059,O0017,I0009,5,28,42,High,Approved,2026-08-31
REO000060,O0205,I0073,26,27,29,Medium,Pending,2026-08-31
REO000061,O0095,I0022,22,26,52,Medium,Ordered,2026-08-31
REO000062,O0076,I0010,15,16,92,Medium,Pending,2026-08-31
REO000063,O0295,I0095,30,33,52,Medium,Received,2026-08-31
REO000064,O0177,I0058,2,26,63,High,Pending,2026-08-31
REO000065,O0044,I0021,25,28,61,Medium,Approved,2026-08-31
REO000066,O0364,I0123,0,25,97,Critical,Received,2026-08-31
REO000067,O0008,I0001,15,22,56,Medium,Ordered,2026-08-31
REO000068,O0002,I0192,26,32,103,Medium,Approved,2026-08-31
REO000069,O0347,I0115,16,22,57,Medium,Pending,2026-08-31
REO000070,O0230,I0078,18,29,65,Medium,Received,2026-08-31
REO000071,O0399,I0135,21,31,70,Medium,Approved,2026-08-31
REO000072,O0159,I0064,2,25,81,High,Ordered,2026-08-31
REO000073,O0414,I0024,1,13,83,High,Ordered,2026-08-31
REO000074,O0402,I0142,3,18,74,High,Pending,2026-08-31
REO000075,O0017,I0197,24,28,75,Medium,Ordered,2026-08-31
REO000076,O0057,I0024,10,20,56,Medium,Ordered,2026-08-31
REO000077,O0104,I0041,6,22,73,High,Ordered,2026-08-31
REO000078,O0094,I0023,4,32,94,High,Pending,2026-08-31
REO000079,O0168,I0058,14,21,90,Medium,Ordered,2026-08-31
REO000080,O0002,I0200,13,25,31,Medium,Ordered,2026-08-31
REO000081,O0447,I0076,8,26,87,High,Approved,2026-08-31
REO000082,O0307,I0094,13,20,81,Medium,Ordered,2026-08-31
REO000083,O0165,I0061,13,27,50,High,Approved,2026-08-31
REO000084,O0188,I0068,10,22,44,High,Received,2026-08-31
REO000085,O0416,I0020,8,23,110,High,Pending,2026-08-31
REO000086,O0439,I0053,21,35,71,Medium,Pending,2026-08-31
REO000087,O0014,I0172,15,32,51,High,Received,2026-08-31
REO000088,O0291,I0097,15,21,60,Medium,Ordered,2026-08-31
REO000089,O0424,I0035,22,30,81,Medium,Ordered,2026-08-31
REO000090,O0110,I0040,9,25,57,High,Ordered,2026-08-31
