movement_id,outlet_id,item_id,movement_type,quantity,movement_date,reference_id
MOV000001,O0117,I0048,Transfer,3,2026-01-16,REF0000001
MOV000002,O0238,I0078,Transfer,16,2026-07-15,REF0000002
MOV000003,O0010,I0005,Stock In,29,2026-03-18,REF0000003
MOV000004,O0309,I0099,Sale,4,2026-02-15,REF0000004
MOV000005,O0020,I0003,Sale,25,2026-04-05,REF0000005
MOV000006,O0198,I0067,Stock In,19,2026-05-05,REF0000006
MOV000007,O0267,I0091,Return,22,2026-08-03,REF0000007
MOV000008,O0060,I0019,Sale,2,2026-07-25,REF0000008
MOV000009,O0297,I0096,Sale,2,2025-09-22,REF0000009
MOV000010,O0002,I0007,Transfer,27,2026-01-29,REF0000010
MOV000011,O0158,I0058,Stock In,9,2026-06-03,REF0000011
MOV000012,O0389,I0130,Sale,24,2026-07-13,REF0000012
MOV000013,O0079,I0016,Sale,24,2025-10-21,REF0000013
MOV000014,O0292,I0096,Stock In,30,2025-11-01,REF0000014
MOV000015,O0170,I0059,Sale,10,2026-07-11,REF0000015
MOV000016,O0004,I0007,Adjustment,22,2026-02-02,REF0000016
MOV000017,O0235,I0079,Adjustment,26,2025-12-02,REF0000017
MOV000018,O0205,I0076,Stock In,14,2025-12-20,REF0000018
MOV000019,O0016,I0172,Stock In,14,2025-09-11,REF0000019
MOV000020,O0480,I0101,Sale,15,2025-12-03,REF0000020
MOV000021,O0061,I0026,Sale,3,2026-06-07,REF0000021
MOV000022,O0134,I0056,Sale,6,2026-03-21,REF0000022
MOV000023,O0199,I0066,Sale,13,2026-04-04,REF0000023
MOV000024,O0254,I0088,Stock In,7,2026-07-10,REF0000024
MOV000025,O0494,I0141,Sale,29,2026-02-28,REF0000025
MOV000026,O0137,I0055,Transfer,18,2025-10-31,REF0000026
MOV000027,O0005,I0002,Sale,5,2025-12-27,REF0000027
MOV000028,O0080,I0017,Transfer,29,2026-06-18,REF0000028
MOV000029,O0477,I0100,Sale,27,2026-02-28,REF0000029
MOV000030,O0088,I0035,Stock In,17,2026-03-10,REF0000030
MOV000031,O0485,I0019,Stock In,11,2026-07-16,REF0000031
MOV000032,O0008,I0162,Sale,20,2025-12-05,REF0000032
MOV000033,O0008,I0167,Stock In,14,2026-07-05,REF0000033
MOV000034,O0191,I0069,Stock In,8,2025-09-25,REF0000034
MOV000035,O0031,I0007,Adjustment,8,2025-09-14,REF0000035
MOV000036,O0326,I0112,Transfer,2,2026-08-15,REF0000036
MOV000037,O0208,I0076,Sale,10,2026-07-07,REF0000037
MOV000038,O0370,I0122,Sale,3,2026-07-22,REF0000038
MOV000039,O0036,I0009,Sale,17,2026-07-29,REF0000039
MOV000040,O0068,I0030,Adjustment,4,2026-02-12,REF0000040
